cathode TotalCurrent(SSE_n44_des) X,cathode TotalCurrent(SSE_n44_des) Y,cathode TotalCurrent(SSE_n45_des) X,cathode TotalCurrent(SSE_n45_des) Y,cathode TotalCurrent(SSE_n47_des) X,cathode TotalCurrent(SSE_n47_des) Y,cathode TotalCurrent(SSE_n48_des) X,cathode TotalCurrent(SSE_n48_des) Y
2.0866932e-12,4.5552144e-09,2.0866932e-12,4.5395089e-09,2.0866932e-12,4.4445139e-09,2.0866932e-12,4.4885337e-09
2.1866932e-12,5.60663e-09,2.1866932e-12,5.587258e-09,2.1866932e-12,5.4702296e-09,2.1866932e-12,5.5244539e-09
2.2866932e-12,6.8857789e-09,2.2866932e-12,6.861941e-09,2.2866932e-12,6.7181051e-09,2.2866932e-12,6.784743e-09
2.3866932e-12,8.4381044e-09,2.3866932e-12,8.4088391e-09,2.3866932e-12,8.2324686e-09,2.3866932e-12,8.3141716e-09
2.4866932e-12,1.0317246e-08,2.4866932e-12,1.0281401e-08,2.4866932e-12,1.0065643e-08,2.4866932e-12,1.0165582e-08
2.5866932e-12,1.258633e-08,2.5866932e-12,1.254253e-08,2.5866932e-12,1.227921e-08,2.5866932e-12,1.240117e-08
2.6866932e-12,1.5319439e-08,2.6866932e-12,1.5266045e-08,2.6866932e-12,1.4945429e-08,2.6866932e-12,1.5093914e-08
2.7866932e-12,1.8603247e-08,2.7866932e-12,1.8538308e-08,2.7866932e-12,1.8148852e-08,2.7866932e-12,1.8329208e-08
2.8866932e-12,2.2538868e-08,2.8866932e-12,2.2460074e-08,2.8866932e-12,2.1988105e-08,2.8866932e-12,2.2206664e-08
2.9866932e-12,2.7243907e-08,2.9866932e-12,2.7148527e-08,2.9866932e-12,2.6577909e-08,2.9866932e-12,2.6842145e-08
3.0866932e-12,3.2854742e-08,3.0866932e-12,3.2739557e-08,3.0866932e-12,3.2051293e-08,3.0866932e-12,3.2370007e-08
3.1866932e-12,3.9529046e-08,3.1866932e-12,3.9390271e-08,3.1866932e-12,3.8562056e-08,3.1866932e-12,3.894559e-08
3.2866932e-12,4.7448562e-08,3.2866932e-12,4.7281758e-08,3.2866932e-12,4.6287471e-08,3.2866932e-12,4.6747942e-08
3.3866932e-12,5.6822133e-08,3.3866932e-12,5.6622108e-08,3.3866932e-12,5.5431253e-08,3.3866932e-12,5.5982819e-08
3.4866932e-12,6.7889011e-08,3.4866932e-12,6.764971e-08,3.4866932e-12,6.6226767e-08,3.4866932e-12,6.6885936e-08
3.5866932e-12,8.0922431e-08,3.5866932e-12,8.0636816e-08,3.5866932e-12,7.8940536e-08,3.5866932e-12,7.9726499e-08
3.6866932e-12,9.623347e-08,3.6866932e-12,9.5893376e-08,3.6866932e-12,9.3875986e-08,3.6866932e-12,9.4811005e-08
3.7866932e-12,1.1417517e-07,3.7866932e-12,1.1377115e-07,3.7866932e-12,1.1137748e-07,3.7866932e-12,1.1248731e-07
3.8866932e-12,1.3514691e-07,3.8866932e-12,1.3466809e-07,3.8866932e-12,1.3183458e-07,3.8866932e-12,1.3314895e-07
3.9866932e-12,1.5959907e-07,3.9866932e-12,1.5903292e-07,3.9866932e-12,1.5568658e-07,3.9866932e-12,1.5723974e-07
4.0866932e-12,1.8803785e-07,4.0866932e-12,1.8737e-07,4.0866932e-12,1.8342725e-07,4.0866932e-12,1.8525853e-07
4.1866932e-12,2.2103034e-07,4.1866932e-12,2.2024438e-07,4.1866932e-12,2.1560975e-07,4.1866932e-12,2.1776423e-07
4.2866932e-12,2.5920971e-07,4.2866932e-12,2.5828694e-07,4.2866932e-12,2.528517e-07,4.2866932e-12,2.5538096e-07
4.3866932e-12,3.0328054e-07,4.3866932e-12,3.0219968e-07,4.3866932e-12,2.9584038e-07,4.3866932e-12,2.9880329e-07
4.4866932e-12,3.5402415e-07,4.4866932e-12,3.5276112e-07,4.4866932e-12,3.4533797e-07,4.4866932e-12,3.488016e-07
4.5866932e-12,4.1230398e-07,4.5866932e-12,4.1083155e-07,4.5866932e-12,4.0218673e-07,4.5866932e-12,4.0622736e-07
4.6866932e-12,4.7907075e-07,4.6866932e-12,4.7735828e-07,4.6866932e-12,4.6731416e-07,4.6866932e-12,4.7201833e-07
4.7866932e-12,5.5536758e-07,4.7866932e-12,5.5338066e-07,4.7866932e-12,5.4173788e-07,4.7866932e-12,5.472037e-07
4.8866932e-12,6.4233464e-07,4.8866932e-12,6.4003479e-07,4.8866932e-12,6.2657028e-07,4.8866932e-12,6.3290877e-07
4.9866932e-12,7.4121353e-07,4.9866932e-12,7.3855782e-07,4.9866932e-12,7.2302277e-07,4.9866932e-12,7.3035938e-07
5.0866932e-12,8.5335099e-07,5.0866932e-12,8.5029175e-07,5.0866932e-12,8.3240945e-07,5.0866932e-12,8.408858e-07
5.1866932e-12,9.8020201e-07,5.1866932e-12,9.7668643e-07,5.1866932e-12,9.5615017e-07,5.1866932e-12,9.6592597e-07
5.2866932e-12,1.123332e-06,5.2866932e-12,1.1193019e-06,5.2866932e-12,1.0957727e-06,5.2866932e-12,1.107028e-06
5.3866932e-12,1.2844182e-06,5.3866932e-12,1.2798094e-06,5.3866932e-12,1.2529141e-06,5.3866932e-12,1.2658515e-06
5.4866932e-12,1.4652494e-06,5.4866932e-12,1.4599919e-06,5.4866932e-12,1.4293207e-06,5.4866932e-12,1.4441684e-06
5.5866932e-12,1.6677248e-06,5.5866932e-12,1.6617422e-06,5.5866932e-12,1.626847e-06,5.5866932e-12,1.6438619e-06
5.6866932e-12,1.8938514e-06,5.6866932e-12,1.8870608e-06,5.6866932e-12,1.8474528e-06,5.6866932e-12,1.8669241e-06
5.7866932e-12,2.145739e-06,5.7866932e-12,2.1380508e-06,5.7866932e-12,2.0931994e-06,5.7866932e-12,2.1154525e-06
5.8866932e-12,2.4255941e-06,5.8866932e-12,2.416912e-06,5.8866932e-12,2.3662429e-06,5.8866932e-12,2.3916444e-06
5.9866932e-12,2.7357115e-06,5.9866932e-12,2.7259323e-06,5.9866932e-12,2.6688262e-06,5.9866932e-12,2.6977893e-06
6.0866932e-12,3.078463e-06,6.0866932e-12,3.0674772e-06,6.0866932e-12,3.0032692e-06,6.0866932e-12,3.0362595e-06
6.1866932e-12,3.4562849e-06,6.1866932e-12,3.4439766e-06,6.1866932e-12,3.3719558e-06,6.1866932e-12,3.4094984e-06
6.2866932e-12,3.8716624e-06,6.2866932e-12,3.8579098e-06,6.2866932e-12,3.7773189e-06,6.2866932e-12,3.8200069e-06
6.3866932e-12,4.3271111e-06,6.3866932e-12,4.3117871e-06,6.3866932e-12,4.2218235e-06,6.3866932e-12,4.2703265e-06
6.4866932e-12,4.8251564e-06,6.4866932e-12,4.8081296e-06,6.4866932e-12,4.7079465e-06,6.4866932e-12,4.7630213e-06
6.5866932e-12,5.3683103e-06,6.5866932e-12,5.3494457e-06,6.5866932e-12,5.2381538e-06,6.5866932e-12,5.3006563e-06
6.6866932e-12,5.9590448e-06,6.6866932e-12,5.9382055e-06,6.6866932e-12,5.8148762e-06,6.6866932e-12,5.8857741e-06
6.7866932e-12,6.5997636e-06,6.7866932e-12,6.5768122e-06,6.7866932e-12,6.4404809e-06,6.7866932e-12,6.5208693e-06
6.8866932e-12,7.2927712e-06,6.8866932e-12,7.2675713e-06,6.8866932e-12,7.1172421e-06,6.8866932e-12,7.2083595e-06
