EventID,ParticleName,IncidentEnergy_keV,TotalEdep_keV,MaxDepthSiC_um,TrackLength_mm,NumSteps,NumSecondaries,MeanEdepPerStep_keV,EdepStdDev_keV,ParticleStopped,FinalKineticEnergy_keV,EnergyEscapeFraction,BraggPeakDepth_um,BraggPeakIntensity_keV,SecondaryTypes
71,e-,100.000000,100.000000,30.211369,0.043909,11,0,9.090909,7.543262,true,0.000000,0.000000,30.211369,26.452966,
72,e-,100.000000,37.347795,10.161974,0.032230,10,0,3.734780,1.943363,false,62.652205,0.626522,6.094484,7.882526,
73,e-,100.000000,100.000000,24.686310,0.063070,14,0,7.142857,5.439637,true,0.000000,0.000000,23.252455,24.266579,
74,e-,100.000000,57.398891,9.439433,0.046746,15,0,3.826593,2.931106,false,42.601109,0.426011,8.648398,13.195865,
75,e-,100.000000,100.000000,8.665060,0.056154,19,0,5.263158,4.773207,true,0.000000,0.000000,3.144031,20.996247,
76,e-,100.000000,100.000000,18.770203,0.060747,14,0,7.142857,5.918186,true,-0.000000,-0.000000,8.495050,25.719241,
77,e-,100.000000,100.000000,24.189982,0.053788,13,0,7.692308,4.619904,true,0.000000,0.000000,22.762388,18.910417,
78,e-,100.000000,100.000000,20.508743,0.059269,14,0,7.142857,4.341952,true,-0.000000,-0.000000,11.807828,17.369746,
79,e-,100.000000,100.000000,36.766974,0.048671,12,0,8.333333,7.820504,true,-0.000000,-0.000000,34.221550,24.794268,
80,e-,100.000000,100.000000,30.390789,0.067913,16,0,6.250000,3.832458,true,0.000000,0.000000,16.210892,12.993732,
81,e-,100.000000,100.000000,28.226321,0.060474,15,0,6.666667,5.360363,true,0.000000,0.000000,26.529171,22.528894,
82,e-,100.000000,100.000000,28.967831,0.060157,14,0,7.142857,6.243108,true,0.000000,0.000000,27.303139,25.896521,
83,e-,100.000000,11.139034,4.452390,0.014786,7,0,1.591291,0.736101,false,88.860966,0.888610,0.000000,2.757608,
84,e-,100.000000,100.000000,17.499272,0.055218,13,0,7.692308,6.843709,true,0.000000,0.000000,17.499272,24.974598,
85,e-,100.000000,100.000000,22.875008,0.042392,11,0,9.090909,5.306440,true,-0.000000,-0.000000,5.980547,16.298705,
86,e-,100.000000,100.000000,11.001005,0.063117,15,0,6.666667,6.000314,true,0.000000,0.000000,6.849756,23.442550,
87,e-,100.000000,100.000000,20.135652,0.056285,14,0,7.142857,4.718411,true,-0.000000,-0.000000,18.208661,15.316752,
88,e-,100.000000,20.892612,9.253878,0.020270,8,0,2.611577,2.067138,false,79.107388,0.791074,5.090067,6.346916,
89,e-,100.000000,100.000000,20.613601,0.065323,16,0,6.250000,4.552541,true,-0.000000,-0.000000,19.134574,16.521852,
90,e-,100.000000,100.000000,13.563583,0.056168,14,0,7.142857,6.422535,true,-0.000000,-0.000000,12.011486,27.900298,
91,e-,100.000000,100.000000,31.571857,0.049635,12,0,8.333333,7.277480,true,0.000000,0.000000,29.777408,24.269864,
92,e-,100.000000,100.000000,19.576690,0.050544,14,0,7.142857,6.151430,true,0.000000,0.000000,19.064167,25.312370,
93,e-,100.000000,56.584692,13.354738,0.044796,13,0,4.352669,2.292964,false,43.415308,0.434153,6.494541,8.514079,
94,e-,100.000000,34.800889,7.455138,0.032692,11,0,3.163717,1.886672,false,65.199111,0.651991,6.382173,6.956338,
95,e-,100.000000,100.000000,20.427316,0.051934,13,0,7.692308,6.592721,true,0.000000,0.000000,7.585584,23.555490,
96,e-,100.000000,100.000000,26.023343,0.065751,15,0,6.666667,6.290070,true,0.000000,0.000000,22.614241,27.999430,
97,e-,100.000000,100.000000,31.057897,0.050116,12,0,8.333333,6.986372,true,0.000000,0.000000,23.335464,25.847453,
